arm,dataset,rows,n_pos,n_neg,pos_mismatch,neg_mismatch,auroc_stored,tv_stored,agree_published,none_published,auroc_published,tv_published,agree_reversed,none_reversed,auroc_reversed,tv_reversed,agree_coding_first,none_coding_first,auroc_coding_first,tv_coding_first,agree_majority,none_majority,auroc_majority,tv_majority
gc,HepG2:TIAL1,4750,2375,2375,0,135,0.5,0.0,4615,0,0.5255086094182825,0.040842105263157895,2739,0,0.5209484764542937,0.03368421052631573,4530,0,0.5306216066481995,0.040842105263157895,4576,0,0.5307039556786703,0.050105263157894736
gc,HepG2:TRA2A,1840,920,920,0,138,0.5,0.0,1702,0,0.5769730623818525,0.14347826086956522,601,0,0.6860160680529301,0.26304347826086955,1500,0,0.6661637523629489,0.3130434782608696,1475,0,0.6848682655954631,0.266304347826087
gc,HepG2:U2AF1,2184,1092,1092,0,131,0.5,0.0,2053,0,0.55187032899945,0.0860805860805861,924,0,0.5618576325993908,0.11904761904761904,1880,0,0.5975572428182319,0.16025641025641027,1777,0,0.654610956808759,0.2912087912087912
gc,HepG2:U2AF2,21398,10699,10699,0,1004,0.5,0.0,20394,0,0.5476394832500836,0.074306009907468,11973,0,0.5675907928672947,0.08776521170202822,18967,0,0.6113423234726176,0.1609496214599495,17821,0,0.6403030993625929,0.24824749976633326
gc,HepG2:UCHL5,4462,2231,2231,0,298,0.5,0.0,4164,0,0.5688285418718875,0.13088301210219636,1387,0,0.6910192971737432,0.29269385925593905,3612,0,0.6492467594775625,0.2823845809054235,3631,0,0.6776981818276794,0.24518153294486775
gc,HepG2:UPF1,19460,9730,9730,0,129,0.5,0.0,19331,0,0.5058200657210248,0.007297019527235351,7547,0,0.5711711429564321,0.11438848920863309,17442,0,0.5777962014472992,0.15395683453237413,19238,0,0.5101857976252971,0.013669064748201475
gc,HepG2:XPO5,9114,4557,4557,0,464,0.5,0.0,8650,0,0.5369622843297314,0.06473557164801405,7423,0,0.5373307909387006,0.05420232609172706,8561,0,0.5383075682083943,0.06473557164801405,8634,0,0.5391017655619944,0.07087996488918148
gc,HepG2:XRN2,2580,1290,1290,0,222,0.5,0.0,2358,0,0.5668523526230396,0.12170542635658912,1922,0,0.5698864250946457,0.13643410852713178,2342,0,0.5678228471846644,0.12170542635658912,2314,0,0.5820170061895318,0.14651162790697672
gc,HepG2:YBX3,4082,2041,2041,0,176,0.5,0.0,3906,0,0.5409922171188817,0.07153356197942183,1973,0,0.591653681594918,0.14208721215090636,3496,0,0.5661934987340606,0.11464968152866244,3581,0,0.6041056672366415,0.17344439000489958
gc,HepG2:ZC3H11A,2308,1154,1154,0,41,0.5,0.0,2267,0,0.5180477669412998,0.028596187175043343,953,0,0.668481493051071,0.28942807625649913,2134,0,0.5222919150930079,0.0337954939341421,2212,0,0.5348801846639974,0.06499133448873486
gc,HepG2:ZNF800,5872,2936,2936,0,474,0.5,0.0,5398,0,0.582299489472043,0.15940054495912806,2044,0,0.6863948498949431,0.2905313351498638,4873,0,0.6423894235052603,0.2786103542234333,4794,0,0.6799156297099245,0.2564713896457766
gc,K562:AATF,2086,1043,1043,0,185,0.5,0.0,1901,0,0.5914598441511644,0.15244487056567593,1123,0,0.5736706105351019,0.14669223394055608,1882,0,0.5919654290255356,0.15244487056567596,1775,0,0.6188758733978704,0.18120805369127518
gc,K562:ADAT1,1852,926,926,0,66,0.5,0.0,1786,0,0.5278054429511729,0.04967602591792654,1453,0,0.5268987120339228,0.04319654427645787,1765,0,0.5308504261343757,0.04967602591792656,1775,0,0.5302953085567409,0.05291576673866092
gc,K562:AGGF1,13976,6988,6988,0,586,0.5,0.0,13390,0,0.5312945198556098,0.05981682884945619,12348,0,0.5134518668686757,0.025615340583858042,13305,0,0.531241911065793,0.05981682884945618,13379,0,0.5307778110254591,0.05867200915855758
gc,K562:AKAP1,2968,1484,1484,0,30,0.5,0.0,2938,0,0.5082835510494693,0.011455525606469053,1276,0,0.551666109662092,0.06940700808625336,2695,0,0.5737682176822313,0.14083557951482478,2936,0,0.5096773490457059,0.01078167115902969
gc,K562:AKAP8L,4196,2098,2098,0,278,0.5,0.0,3918,0,0.5502931431360023,0.08722592945662538,3335,0,0.5389213795698112,0.07387988560533842,3863,0,0.5512743763409884,0.08722592945662538,3902,0,0.5556274485392143,0.10009532888465203
