dataset,protein,cell,region_auroc_dn,region_tv_dn,region_auroc_gc,region_tv_gc,region_auroc_neg2,region_tv_neg2,region_auroc_built,region_tv_built,retained_built,comp_built,full_built,gain_built,region_auroc_matched,region_tv_matched,retained,comp_matched,full_matched,gain_matched
PTBP1:K562,PTBP1,K562,0.5,0.0,0.5,0.0,0.7562107110284464,0.4679511881824021,0.5,0.0,1.0,0.9547630297052819,0.9580957731652153,0.003332743459933396,0.5001818353333051,0.0002514467131393061,0.7282594733461786,0.9535870642828203,0.9568961709765365,0.0033091066937162017
PUM1:K562,PUM1,K562,0.5,0.0,0.5,0.0,0.7653995182845957,0.4688796680497925,0.5,0.0,1.0,0.6972895219998404,0.6989970262390753,0.001707504239234936,0.5031276785025868,0.005615023091090958,0.7057714070162203,0.7049270790366361,0.7042988464654227,-0.0006282325712133607
QKI:HepG2,QKI,HepG2,0.5,0.0,0.5,0.0,0.7723506042653667,0.49499399279134954,0.5,0.0,1.0,0.9358592746217367,0.9652752105089183,0.02941593588718161,0.5008764942710012,0.0016700058701088873,0.7149579495394474,0.934072866946624,0.9638451563394472,0.02977228939282328
QKI:K562,QKI,K562,0.5,0.0,0.5,0.0,0.7383841838871671,0.4285061671996345,0.5,0.0,1.0,0.9340685736919991,0.9724612513958973,0.038392677703898204,0.5015558904320896,0.0029227771510614,0.7462311557788944,0.9318955207815093,0.971106163300903,0.03921064251939377
RBFOX2:K562,RBFOX2,K562,0.5,0.0,0.5,0.0,0.7272731766408618,0.3860505166475316,0.5,0.0,1.0,0.7735201828005606,0.8079556074612366,0.03443542466067606,0.5014371124351351,0.0017152930415504399,0.6559988518943742,0.762758020103995,0.792475155184378,0.029717135080383095
RBM15:HepG2,RBM15,HepG2,0.5,0.0,0.5,0.0,0.7172931146870257,0.35699933020763563,0.5,0.0,1.0,0.7865246569276854,0.7914227098641617,0.0048980529364763825,0.5063819513895897,0.009325482388130933,0.6955793703951775,0.7749463248584719,0.7734220884676435,-0.0015242363908284373
RPS3:HepG2,RPS3,HepG2,0.5,0.0,0.5,0.0,0.7887899092744999,0.5022135647246325,0.5,0.0,1.0,0.7960067182610568,0.7998460829696271,0.00383936470857027,0.5015457427454493,0.0019796550395028267,0.6754914113688685,0.789009711451228,0.7915478727710007,0.0025381613197726915
RPS3:K562,RPS3,K562,0.5,0.0,0.5,0.0,0.7698821363107722,0.48205994090333476,0.5,0.0,1.0,0.691761337566759,0.7033340632957609,0.01157272572900192,0.5008708581946235,0.001268733909088519,0.6874208526804559,0.69344270399568,0.696937545396811,0.003494841401130988
SAFB2:K562,SAFB2,K562,0.5,0.0,0.5,0.0,0.7275402039274235,0.421741452991453,0.5,0.0,1.0,0.9355879663872452,0.9381563207685002,0.0025683543812550225,0.5025706541978731,0.0031322843822844037,0.7482638888888888,0.934104931885997,0.9358931256120604,0.001788193726063425
SLTM:K562,SLTM,K562,0.5,0.0,0.5,0.0,0.6894001288294588,0.36289871292669273,0.5,0.0,1.0,0.8879481982821279,0.8898593460386195,0.0019111477564915935,0.5044315796570283,0.008124890219506579,0.7589535534415222,0.890078020108612,0.8927556816034649,0.0026776614948528232
SMNDC1:K562,SMNDC1,K562,0.5,0.0,0.5,0.0,0.7741262541917638,0.4011437908496732,0.5,0.0,1.0,0.7433837880195651,0.7490660309603144,0.005682242940749371,0.516715268196831,0.03043779700935099,0.5957924836601307,0.726957822930167,0.7254457753250555,-0.0015120476051114773
SND1:K562,SND1,K562,0.5,0.0,0.5,0.0,0.764372863767742,0.4835351089588378,0.5,0.0,1.0,0.6902528595465764,0.7033228195041304,0.013069959957554,0.505947753722494,0.010391030511314805,0.7064164648910412,0.670326983022445,0.6719459217654954,0.0016189387430504132
SRSF1:HepG2,SRSF1,HepG2,0.5,0.0,0.5,0.0,0.7213140730056564,0.36653609401231113,0.5,0.0,1.0,0.8447592495574423,0.8756391760551318,0.030879926497689447,0.5021516177209175,0.0034237635367712453,0.7129266927811976,0.8429238175845849,0.8618787902408033,0.018954972656218372
SRSF1:K562,SRSF1,K562,0.5,0.0,0.5,0.0,0.7932966627605322,0.49753949753949755,0.5,0.0,1.0,0.8069358002017933,0.8266178745329226,0.01968207433112923,0.5021056721056721,0.0038770488770489067,0.6813001813001813,0.8108974358974358,0.8244768194768195,0.013579383579383708
STAU2:HepG2,STAU2,HepG2,0.5,0.0,0.5,0.0,0.6897021569501414,0.33847980997624705,0.5,0.0,1.0,0.6945232762171282,0.6984191016751203,0.0038958254579921636,0.5168285817218154,0.03213062301168104,0.7309976247030879,0.7235984832294268,0.7230397694313331,-0.0005587137980936907
SUB1:HepG2,SUB1,HepG2,0.5,0.0,0.5,0.0,0.8338288098548402,0.5606796116504854,0.5,0.0,1.0,0.8143759867800923,0.8197007331628806,0.005324746382788348,0.5022386044802708,0.0025385232029927936,0.6322815533980582,0.8121875556693686,0.81462413434132,0.0024365786719513505
