dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
MATR3:K562,MATR3,K562,dn,4867,0.01980000000000004,0.05940000000000001,0.2872,0.23999999999999996,0.33999999999999997,0.9200000000000002
MATR3:K562,MATR3,K562,neg2,4864,0.11889999999999995,0.27729999999999994,0.6040000000000001,0.74,1.1,1.82
MBNL1:K562,MBNL1,K562,gc,1194,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.54,0.86,1.8
MBNL1:K562,MBNL1,K562,dn,1202,0.02969999999999995,0.06930000000000003,0.20799999999999996,0.24,0.39999999999999997,0.8800000000000001
MBNL1:K562,MBNL1,K562,neg2,1194,0.13869999999999993,0.3169,0.5644,0.74,1.1,1.72
METTL1:K562,METTL1,K562,gc,481,0.02969999999999995,0.04949999999999999,0.1089,0.48000000000000004,0.6799999999999999,1.2400000000000002
METTL1:K562,METTL1,K562,dn,481,0.01980000000000004,0.05940000000000001,0.11879999999999996,0.22,0.30000000000000004,0.56
METTL1:K562,METTL1,K562,neg2,481,0.11890000000000006,0.2773,0.48519999999999996,0.6399999999999999,0.96,1.4200000000000002
MORC2:K562,MORC2,K562,gc,823,0.02980000000000005,0.08910000000000007,0.14849999999999997,0.52,0.82,1.42
MORC2:K562,MORC2,K562,dn,891,0.02970000000000006,0.08909999999999996,0.2476,0.26,0.44,0.76
MORC2:K562,MORC2,K562,neg2,823,0.17820000000000003,0.3763,0.6139000000000001,0.76,1.1560000000000012,1.6
MTPAP:K562,MTPAP,K562,gc,1077,0.029700000000000004,0.049500000000000065,0.14849999999999997,0.5,0.8,1.42
MTPAP:K562,MTPAP,K562,dn,1083,0.02969999999999995,0.06929999999999997,0.19810000000000005,0.22000000000000003,0.33999999999999997,1.0
MTPAP:K562,MTPAP,K562,neg2,1077,0.13859999999999995,0.3169,0.5743,0.7,1.08,1.64
NCBP2:HepG2,NCBP2,HepG2,gc,3186,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.49999999999999994,0.7000000000000001,1.24
NCBP2:HepG2,NCBP2,HepG2,dn,3226,0.01980000000000004,0.05940000000000001,0.20789999999999997,0.21999999999999997,0.28,0.84
NCBP2:HepG2,NCBP2,HepG2,neg2,3186,0.18809999999999993,0.37629999999999997,0.6436,0.74,1.1,1.58
NKRF:HepG2,NKRF,HepG2,gc,3537,0.03959999999999997,0.09899999999999998,0.14850000000000008,0.52,0.76,1.5999999999999999
NKRF:HepG2,NKRF,HepG2,dn,3792,0.04949999999999999,0.13869000000000006,0.31679999999999997,0.28,0.5,1.0
NKRF:HepG2,NKRF,HepG2,neg2,3537,0.1683,0.3565,0.6634,0.74,1.06,1.7799999999999998
NOLC1:K562,NOLC1,K562,gc,1567,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.48000000000000004,0.68,1.34
NOLC1:K562,NOLC1,K562,dn,1570,0.01980000000000004,0.0495000000000001,0.09910000000000002,0.2,0.28,0.7
NOLC1:K562,NOLC1,K562,neg2,1567,0.11890000000000006,0.2872,0.5841999999999999,0.64,0.98,1.7000000000000002
NONO:K562,NONO,K562,gc,11164,0.02970000000000006,0.06929999999999992,0.14859999999999995,0.5,0.7000000000000001,1.6800000000000002
NONO:K562,NONO,K562,dn,11343,0.02969999999999995,0.07920000000000005,0.3366,0.22,0.34,0.92
NONO:K562,NONO,K562,neg2,11164,0.1584000000000001,0.33670000000000005,0.6040000000000001,0.7,1.06,1.6800000000000002
PCBP1:HepG2,PCBP1,HepG2,gc,929,0.02970000000000006,0.0495000000000001,0.14850000000000008,0.54,0.9200000000000002,1.82
PCBP1:HepG2,PCBP1,HepG2,dn,940,0.02969999999999995,0.06930000000000003,0.3169,0.24,0.36200000000000054,1.04
PCBP1:HepG2,PCBP1,HepG2,neg2,929,0.1486,0.3466,0.5644,0.74,1.16,1.8800000000000001
PCBP2:HepG2,PCBP2,HepG2,gc,8589,0.029700000000000004,0.0495000000000001,0.14850000000000008,0.7,1.1,1.8400000000000003
