dataset,protein,cell,n,coverage,comp_kmer,full_kmer,gain_kmer,published_neg2_kmer,published_gc_kmer,published_dn_kmer,comp_cnn,full_cnn,gain_cnn,published_neg2_cnn,published_gc_cnn,published_dn_cnn,comp_splicebert,full_splicebert,gain_splicebert,published_neg2_splicebert,published_gc_splicebert,published_dn_splicebert
NKRF:HepG2,NKRF,HepG2,7074,1.0,0.8636419117613557,0.8653389040722939,0.0016969923109381169,0.0030143795119073,0.0023717126169499,0.0103544938044116,0.8636419117613557,0.8642300638774125,0.0005881521160567837,0.0029229353666545,0.0128005017278066,0.0250629656705656,0.8636419117613557,0.8776441366357778,0.014002224874422042,0.0162553958240561,0.0275566611984026,0.0603973889066923
NOLC1:K562,NOLC1,K562,3134,1.0,0.6924478179295447,0.7088221531434268,0.016374335213882096,0.0085669290312438,0.006180439008279,0.0299801208973994,0.6924478179295447,0.7015877489168146,0.00913993098726995,0.0050824906973724,-0.0001030344668618,0.0064720678323664,0.6924478179295447,0.7412185515797465,0.04877073365020179,0.0437534030899753,0.0209424680786597,0.0796519128565053
NONO:K562,NONO,K562,22328,1.0,0.885638922505299,0.89248378720515,0.0068448646998510165,0.0241106150559953,0.0276902866754107,0.0566100375405955,0.885638922505299,0.8939815699769991,0.008342647471700104,0.0218462973644235,0.0453068055675193,0.1034503459481396,0.885638922505299,0.9195319262752865,0.033893003769987495,0.0656831293861713,0.0822932126488876,0.1721900410270503
PCBP1:HepG2,PCBP1,HepG2,1858,1.0,0.9217093973519219,0.9215425454874103,-0.00016685186451159684,0.0001517888489653,0.0025526017883275,0.0060457220461748,0.9217093973519219,0.9227881410037297,0.001078743651807823,-0.0010057459610842,-0.000526046850613,0.0116987324581259,0.9217093973519219,0.923869202042545,0.002159804690623046,0.0016893751281802,0.008079569800276,0.0382593933906745
PCBP2:HepG2,PCBP2,HepG2,17178,1.0,0.9293191283324225,0.945232973301228,0.015913844968805546,0.0135973088908567,0.0079321634062289,0.0316609772091074,0.9293191283324225,0.9568107059419795,0.027491577609557005,0.0230633964838258,0.0155921328405267,0.0574301698296193,0.9293191283324225,0.9641332524505151,0.03481412411809259,0.0315506837714552,0.0203488038328815,0.0838557302343008
PHF6:K562,PHF6,K562,1352,1.0,0.7283686670634782,0.7253028605440986,-0.003065806519379599,0.0068909526977346,0.0081010818948916,0.0212307851560478,0.7283686670634782,0.7265261195336299,-0.0018425475298483596,-0.0012582717691959,-0.000420153355975,-0.0013767403343513,0.7283686670634782,0.7454899163194566,0.017121249255978355,0.0410787437414655,0.0077137530198522,0.0439231923813466
PPIL4:K562,PPIL4,K562,1316,1.0,0.8409105606932679,0.8414094474367384,0.0004988867434705391,-0.0057487458541588,-0.003060300625456,0.0314611967827281,0.8409105606932679,0.8406888332517253,-0.00022172744154258517,-0.0012818617714175,0.0003187331972173,0.0071198141295613,0.8409105606932679,0.8513340601066139,0.010423499413346082,0.0495006513243595,0.018315610535749,0.1106104112314377
PRPF4:HepG2,PRPF4,HepG2,17734,1.0,0.9122460280386996,0.9146828254268252,0.0024367973881256333,0.0027683259685257,0.0057320510616081,0.0161628080741856,0.9122460280386996,0.9188262713035507,0.006580243264851071,0.0043655417898286,0.0123687912939315,0.0556485146728129,0.9122460280386996,0.9223426288227204,0.01009660078402086,0.008213211669577,0.04126195350615,0.0970910536750859
PTBP1:HepG2,PTBP1,HepG2,16698,1.0,0.9426631508043355,0.9476271422517618,0.004963991447426319,0.0040509684409191,0.0040398789765,0.0438025486784156,0.9426631508043355,0.9457828768082015,0.003119726003866008,0.0031685885081499,0.0057215611079484,0.0868156384838846,0.9426631508043355,0.9500803527098125,0.007417201905477011,0.0087752237435732,0.0095155495021139,0.1022238486905796
PTBP1:K562,PTBP1,K562,15570,1.0,0.9547630297052819,0.9580957731652153,0.003332743459933396,0.0044646898895286,0.0027122791429428,0.0380593889234008,0.9547630297052819,0.9572475434660385,0.002484513760756535,0.0022392584260114,0.0061322743662058,0.0875065171512525,0.9547630297052819,0.9634830910521156,0.008720061346833674,0.0110991733934923,0.0110998828915678,0.109063980911142
