dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
GRSF1:HepG2,GRSF1,HepG2,995,0.8169318956592004,0.6171127015621063,-0.1998191940970941,0.8534319840408071,0.6227540784832452,-0.0002656498573269,0.0138997149785841,0.7250820271538343,0.0233369129843908,False,True,0.014165364835911,0.0136340651212572,utr3,0.4190954773869347,0.05628140703517588,0.16080402010050251,0.1457286432160804,0.4190954773869347,0.21809045226130652
GRWD1:HepG2,GRWD1,HepG2,22072,0.7790078445697044,0.7228726407844653,-0.056135203785239,0.6995532968415601,0.56857438328516,0.0797571136427739,0.1539028965163911,0.0,0.0,True,True,0.07414578287361721,0.233660010159165,cds,0.5753896339253353,0.024465386009423704,0.010601667270750272,0.0871692642261689,0.30237404856832184,0.5753896339253353
GRWD1:K562,GRWD1,K562,4373,0.8194727442355275,0.718397544489796,-0.1010751997457315,0.7715631160570008,0.5858371918367347,0.0482827888678679,0.1308482873469387,1.6673350510556248e-52,2.9847621549535155e-91,True,True,0.0825654984790708,0.17913107621480662,cds,0.5549965698605077,0.0340727189572376,0.013491882003201464,0.06563000228675966,0.33180882689229363,0.5549965698605077
GTF2F1:HepG2,GTF2F1,HepG2,4251,0.8818035591940923,0.7614513462418514,-0.1203522129522408,0.8778375918412046,0.7469810664488401,0.010593104388628,0.0214514042453781,3.585813998614395e-15,2.4487828835939147e-18,True,True,0.0108582998567501,0.0320445086340061,intron,0.6763114561279698,0.08774406022112444,0.6763114561279698,0.13926135027052458,0.07127734650670431,0.025405786873676783
HLTF:HepG2,HLTF,HepG2,3642,0.6737559185788112,0.6017112718062777,-0.0720446467725335,0.6510926734621195,0.5431476306871318,0.0243642946513628,0.060175259342053,1.3529855817380926e-11,2.1893659653937485e-17,True,True,0.0358109646906902,0.0845395539934158,intron,0.47391543108182316,0.09253157605711147,0.47391543108182316,0.024986271279516747,0.1471718835804503,0.2613948380010983
HNRNPC:K562,HNRNPC,K562,516,0.9356897121567214,0.7166861967429843,-0.219003515413737,0.9479748813172284,0.6668657232137493,0.0066552490835887,0.051345321795565,0.0044250145518992,2.4086007131102183e-05,True,True,0.0446900727119763,0.0580005708791537,intron,0.5910852713178295,0.11046511627906977,0.5910852713178295,0.025193798449612403,0.2713178294573643,0.001937984496124031
HNRNPL:K562,HNRNPL,K562,5836,0.8914116887405863,0.7739373006192531,-0.1174743881213331,0.8732692333891269,0.7281126853068118,0.0199987985517792,0.0473536603959466,9.377228119060034e-39,4.493530019822728e-53,True,True,0.0273548618441674,0.0673524589477258,intron,0.8668608636052091,0.0707676490747087,0.8668608636052091,0.004626456477039068,0.0520904729266621,0.005654557916381083
HNRNPM:HepG2,HNRNPM,HepG2,13395,0.9452514483336516,0.7690603329130999,-0.1761911154205516,0.9338788729226988,0.7029065080801772,0.0127472199197413,0.067430264615066,6.654169495155139e-77,6.948563382182441e-169,True,True,0.0546830446953247,0.0801774845348073,intron,0.9075027995520717,0.04845091452034341,0.9075027995520717,0.019783501306457632,0.019634191862635313,0.004628592758491975
HNRNPUL1:HepG2,HNRNPUL1,HepG2,463,0.7764788752105015,0.5809967490336514,-0.1954821261768501,0.804449337357547,0.5935695977330356,0.0047534858118478,0.0084185814048394,0.2208334037972913,0.2767934016466981,False,False,0.0036650955929915996,0.013172067216687199,intron,0.6393088552915767,0.30669546436285094,0.6393088552915767,0.03455723542116631,0.017278617710583154,0.0021598272138228943
IGF2BP1:K562,IGF2BP1,K562,5706,0.7268267431519131,0.6304200545751031,-0.09640668857681,0.6859930556860901,0.567448417976834,0.0408252718281676,0.0645524557752099,2.2578063389582772e-34,2.4846342578635424e-34,True,True,0.023727183947042305,0.1053777276033775,utr3,0.6901507185418857,0.02103049421661409,0.041710480196284615,0.025061338941465124,0.6901507185418857,0.22204696810375044
