dataset,gain_gc_k3,gain_dn_k3,contrast_k3,gain_gc_k4,gain_dn_k4,contrast_k4,gain_gc_k5,gain_dn_k5,contrast_k5,gain_gc_k6,gain_dn_k6,contrast_k6
MATR3:K562,0.004861044421420435,0.05204328025611682,0.047182235834696384,0.004963333256686964,0.05750050806750395,0.05253717481081699,0.003827589040317547,0.04396665404733413,0.04013906500701658,0.0026297106967407835,0.026085972116850042,0.02345626142010926
MBNL1:K562,0.03791290343397602,0.07791645095113242,0.0400035475171564,0.03381929188095689,0.0704926066096162,0.03667331472865931,0.025939300073791416,0.05854288886243397,0.03260358878864256,0.038934201998265916,0.0533975542703371,0.014463352272071184
METTL1:K562,0.010420943892877288,0.05573973141540711,0.045318787522529824,0.011557695549379465,0.07583387001266417,0.06427617446328471,0.019346389408759435,0.056275690371324516,0.03692930096256508,0.02794334395165987,0.0860905684190506,0.058147224467390735
MORC2:K562,-0.0007057131763146263,0.003152865479838951,0.0038585786561535773,0.004296287328609871,0.004664427036293883,0.00036813970768401205,0.005762340014970668,0.013153104810418759,0.00739076479544809,0.009335197518488214,0.01654152196613845,0.007206324447650236
MTPAP:K562,0.01214643310064667,0.043522447563239086,0.031376014462592416,0.0179140274965105,0.045507290118672716,0.027593262622162218,0.010270456208957612,0.05257189725540945,0.04230144104645184,0.020898692937240115,0.05313802073341989,0.03223932779617977
NCBP2:HepG2,0.010732965827819352,0.03162521346053404,0.02089224763271469,0.020169948641439284,0.06480782882723257,0.04463788018579329,0.02199378243405614,0.0809750980967181,0.05898131566266196,0.011985503117255436,0.044131031617334227,0.03214552850007879
NKRF:HepG2,0.0022017735847759123,0.010048049121202163,0.00784627553642625,0.002371712616949906,0.009978786247686222,0.007607073630736316,0.0014283351674118094,0.0075353421280277555,0.006107006960615946,0.00035930195184485925,0.003134197130057692,0.002774895178212833
NOLC1:K562,0.003714535068167546,0.021979390644651042,0.018264855576483496,0.006180439008279026,0.02944744208690009,0.023267003078621062,0.007316261648901645,0.023921457259929446,0.0166051956110278,0.00453758905049062,0.01055052943324275,0.00601294038275213
NONO:K562,0.019392064963892675,0.04494115393903697,0.025549088975144296,0.027690286675410736,0.05765180905308298,0.029961522377672245,0.030167570405001065,0.06229053866292267,0.0321229682579216,0.022124341484587084,0.04881572614235474,0.02669138465776766
PCBP1:HepG2,-0.0010961240543612139,0.015868039837030334,0.016964163891391548,0.002552601788327502,0.002247623358985873,-0.0003049784293416291,0.0031226789920756337,0.012819148936170088,0.009696469944094455,-1.9697789560346735e-05,0.016698732458125698,0.016718430247686045
