dataset,protein,cell,comp_gc,n_gc,k4_pub_gc,k4_cf_gc,k2_pub_gc,k2_cf_gc,comp_dn,n_dn,k4_pub_dn,k4_cf_dn,k2_pub_dn,k2_cf_dn,comp_neg2,n_neg2,k4_pub_neg2,k4_cf_neg2,k2_pub_neg2,k2_cf_neg2
FASTKD2:K562,FASTKD2,K562,0.9251736003472008,1016,-0.0003681257362514456,0.000279000558001119,0.008579267158534298,0.0012981275962552496,0.7302868969649106,1084,0.0012765349055705588,0.0010688852275977379,0.00925572908865624,-0.0034721749431516624,0.9131145762291524,1016,0.0012322524645052013,0.001964628929258083,0.006424762849525756,-0.000899001798003507
FKBP4:HepG2,FKBP4,HepG2,0.836270978741542,2740,0.001349565773349548,0.002762001172145534,0.005492034738131979,-0.0005093505248016106,0.7158623329097213,2906,0.008691228580401056,0.010880021826356279,0.013021448847556183,0.0005977617564154603,0.8978379242367734,2740,9.004209068141922e-05,0.0007555010922266625,0.0030598327028611427,6.819755980613795e-05
FMR1:K562,FMR1,K562,0.6427784801053057,8864,0.06827122486282888,0.07133939946109036,0.011694771533579229,-0.0003586588024084847,0.5555778980945716,8890,0.10551727715700343,0.10761693033590158,0.016321064478863834,-9.687203047858972e-05,0.8262329411793455,8864,0.012127045755190413,0.014188786589816038,0.005531389288926047,-0.0002175880371176886
FXR1:K562,FXR1,K562,0.6530115376884819,2846,0.031789756579119643,0.03661758017194672,0.05547947607051906,-0.0002943313074186271,0.5694601415820253,2850,0.06842031394275161,0.06908759618344107,0.0401058787319174,0.004004185903354829,0.7799014187657938,2846,0.0099667692052412,0.01292983605844944,0.02770072432169224,0.000559031946305355
FXR2:K562,FXR2,K562,0.6447002253394865,9424,0.04919834054438921,0.05359996404080469,0.01626613119413356,-0.00024523774865170545,0.5674133606336214,9490,0.0911906604589603,0.09327500191538751,0.006037967979160563,-0.0008706630350177047,0.8141332068395974,9424,0.008771134134284209,0.01040888992018374,0.00479152674528216,-0.00039652399249390236
G3BP1:HepG2,G3BP1,HepG2,0.6887407694563813,12956,0.06713329300081461,0.06932111925884754,0.0070703359536125054,-0.00023696228458325308,0.5661713766297118,12964,0.11941670575464902,0.12124708958356278,0.0068255614175098955,-0.0002073241819060545,0.7833124553610621,12956,0.02361973520274896,0.024600636099802675,0.0029660319426302317,-6.00031207342866e-05
GARS:K562,GARS,K562,0.7452852386309062,1114,0.0014762336059100933,0.005556826935783743,0.05101386305838207,0.0016309480449573366,0.6225698909962667,1132,0.04611432281586736,0.04334864962728968,0.02720723195445074,-0.0002840589843799979,0.798610148622558,1114,0.006820328188003821,0.008125731267465852,0.01725710638873934,-0.0030942887809469743
GEMIN5:K562,GEMIN5,K562,0.7553554705480865,5020,0.013890731893144714,0.015438961286328823,0.006343867557657812,-7.857018142587435e-05,0.6291032483930212,5280,0.03991520316804387,0.042039571854912694,0.008899793388429611,-0.00026658631772291663,0.8954391200139679,5020,0.0007028459865718872,0.0012591863621213006,0.004190250948397756,0.00012983920890152767
GRSF1:HepG2,GRSF1,HepG2,0.853431984040807,1990,-0.0003040327264461906,0.0005969546223580924,0.01491376480391926,0.00014646094795589537,0.6230965765936004,2016,0.008633314436885864,0.00934783635676495,0.023432579050138624,0.00018404352481737885,0.8133340067170022,1990,0.00020100502512554463,0.0007080629277037565,0.016583419610615824,4.9493699653901935e-05
GRWD1:HepG2,GRWD1,HepG2,0.6995532968415602,44144,0.07975726553947593,0.08064430738453765,0.0020386282180917537,5.566808865986594e-06,0.5678016246264418,44156,0.15522073978938422,0.15577986105820985,0.0029793732735909906,0.00034295637843506643,0.8495007065085093,44144,0.02461667307205484,0.024932318524329977,0.00046393152871071486,3.901692585783767e-05
