dataset,arm,model,n_folds,pooled,fold_averaged,rank_pooled
NOLC1:K562,dn,splicebert,5,0.0796519128565053,0.08551754918113193,0.08666355633088563
NOLC1:K562,neg2,kmer,5,0.008566929031243897,0.008453463664252347,0.008708245078678956
NOLC1:K562,neg2,cnn,5,0.005082490697372211,0.005148724094692625,0.007056028351175692
NOLC1:K562,neg2,splicebert,5,0.04375340308997522,0.046318556344045095,0.046242520328944714
NONO:K562,gc,kmer,5,0.027690286675410847,0.027304303489077596,0.027863171643357387
NONO:K562,gc,cnn,5,0.045306805567519426,0.04629001512769364,0.04706414245333013
NONO:K562,gc,splicebert,5,0.08229321264888789,0.08662860257382947,0.08829381941314407
NONO:K562,dn,kmer,5,0.05661003754059535,0.055809369181437016,0.05679370246991833
NONO:K562,dn,cnn,5,0.1034503459481394,0.10567146901106221,0.10857469151990251
NONO:K562,dn,splicebert,5,0.17219004102705027,0.17569946081822865,0.17919982978253646
NONO:K562,neg2,kmer,5,0.02411061505599532,0.023693128335835388,0.024374786656860437
NONO:K562,neg2,cnn,5,0.02184629736442345,0.022740405643957982,0.023591526886659442
NONO:K562,neg2,splicebert,5,0.06568312938617127,0.06737765593367154,0.06873341074557493
PCBP1:HepG2,gc,kmer,5,0.002552601788327502,0.0033716994694286797,0.002728723200867589
PCBP1:HepG2,gc,cnn,5,-0.0005260468506130822,0.002850692326244708,0.0025329039987670443
PCBP1:HepG2,gc,splicebert,5,0.00807956980027602,0.013444087620236989,0.01284411748688652
PCBP1:HepG2,dn,kmer,5,0.006045722046174595,0.007799695210184287,0.0062019013128111755
PCBP1:HepG2,dn,cnn,5,0.011698732458125694,0.024698636074212788,0.02357627885921232
PCBP1:HepG2,dn,splicebert,5,0.03825939339067452,0.05677834250779719,0.05514259846084202
PCBP1:HepG2,neg2,kmer,5,0.00015178884896538403,0.0005318168224649922,0.00024680171625690583
PCBP1:HepG2,neg2,cnn,5,-0.00100574596108427,0.0007820682838143522,0.0003823688561727101
PCBP1:HepG2,neg2,splicebert,5,0.0016893751281803482,0.0037280507579702028,0.0036939148893274654
PCBP2:HepG2,gc,kmer,5,0.00793216340622871,0.007891615758556769,0.007917848822844631
PCBP2:HepG2,gc,cnn,5,0.015592132840526629,0.016206264237412803,0.016295174083566066
