dataset,model,published,recomputed,abs_diff,note
STAU2:HepG2,cnn,0.5921514829565682,0.5921514829565682,0.0,
SUB1:HepG2,cnn,0.649686220384539,0.649686220384539,0.0,
TAF15:HepG2,cnn,0.721006605360243,0.7210066053602431,1.1102230246251565e-16,
TIA1:HepG2,cnn,0.764854198493966,0.7648541984939659,1.1102230246251565e-16,
TIA1:K562,cnn,0.7749283589344013,0.7749283589344013,0.0,
TRA2A:HepG2,cnn,0.8162821650922321,0.8162821650922321,0.0,
U2AF1:K562,cnn,0.9050717165708244,0.9050717165708242,2.220446049250313e-16,
U2AF2:HepG2,cnn,0.9040666069783816,0.9040666069783815,1.1102230246251565e-16,
UCHL5:HepG2,cnn,0.6391793576345053,0.6391793576345054,1.1102230246251565e-16,
XPO5:HepG2,cnn,0.7063605544125545,0.7063605544125545,0.0,
YBX3:HepG2,cnn,0.5946828165814659,0.594682816581466,1.1102230246251565e-16,
YBX3:K562,cnn,0.7133189461408247,0.7133189461408248,1.1102230246251565e-16,
YWHAG:K562,cnn,0.6055536711452818,0.6055536711452818,0.0,
ZNF622:K562,cnn,0.7710980786126945,0.7710980786126945,0.0,
ZNF800:HepG2,cnn,0.636243252310862,0.636243252310862,0.0,
ZNF800:K562,cnn,0.710160907406958,0.710160907406958,0.0,
AATF:K562,kmer (rehearsal),0.6765842775858514,0.6765842775858513,1.1102230246251565e-16,
AKAP1:HepG2,kmer (rehearsal),0.6153589788956157,0.6153589788956157,0.0,
AQR:HepG2,kmer (rehearsal),0.7327253288286233,0.7327253288286233,0.0,
BCCIP:HepG2,kmer (rehearsal),0.6670085811352708,0.6670085811352707,1.1102230246251565e-16,
BCLAF1:HepG2,kmer (rehearsal),0.7064597425081852,0.7064597425081851,1.1102230246251565e-16,
BUD13:K562,kmer (rehearsal),0.6804350218647259,0.6804350218647259,0.0,
CDC40:HepG2,kmer (rehearsal),0.6236487903178838,0.6236487903178838,0.0,
CSTF2T:HepG2,kmer (rehearsal),0.7425992712400209,0.7425992712400209,0.0,
DDX24:K562,kmer (rehearsal),0.7068258138020834,0.7068258138020833,1.1102230246251565e-16,
DDX55:HepG2,kmer (rehearsal),0.6387742049872721,0.6387742049872722,1.1102230246251565e-16,
DDX55:K562,kmer (rehearsal),0.6092017742932071,0.6092017742932072,1.1102230246251565e-16,
DDX59:HepG2,kmer (rehearsal),0.7366844684629017,0.7366844684629017,0.0,
DDX6:HepG2,kmer (rehearsal),0.6728560907471333,0.6728560907471334,1.1102230246251565e-16,
DDX6:K562,kmer (rehearsal),0.6491608505962153,0.6491608505962154,1.1102230246251565e-16,
DGCR8:K562,kmer (rehearsal),0.5450885950335317,0.5450885950335317,0.0,
DHX30:K562,kmer (rehearsal),0.5871665566971439,0.5871665566971439,0.0,
DROSHA:HepG2,kmer (rehearsal),0.653149696762334,0.653149696762334,0.0,
DROSHA:K562,kmer (rehearsal),0.6803537496187338,0.680353749618734,1.1102230246251565e-16,
EFTUD2:HepG2,kmer (rehearsal),0.7154900845737441,0.7154900845737442,1.1102230246251565e-16,
EIF3H:HepG2,kmer (rehearsal),0.6283385601200165,0.6283385601200165,0.0,
ELAC2:K562,kmer (rehearsal),0.8714384786677357,0.8714384786677356,1.1102230246251565e-16,
ELAVL1:K562,kmer (rehearsal),0.7419502626814487,0.7419502626814487,0.0,
EXOSC5:HepG2,kmer (rehearsal),0.6539073541849171,0.6539073541849171,0.0,
FASTKD2:HepG2,kmer (rehearsal),0.5934958270509036,0.5934958270509036,0.0,
FASTKD2:K562,kmer (rehearsal),0.6702182704483872,0.6702182704483872,0.0,
FKBP4:HepG2,kmer (rehearsal),0.7055426476125245,0.7055426476125246,1.1102230246251565e-16,
FMR1:K562,kmer (rehearsal),0.6617104695433882,0.661710469543388,2.220446049250313e-16,
FXR1:K562,kmer (rehearsal),0.6455199753770392,0.6455199753770391,1.1102230246251565e-16,
FXR2:K562,kmer (rehearsal),0.6584832572915198,0.6584832572915198,0.0,
G3BP1:HepG2,kmer (rehearsal),0.6901700158252777,0.6901700158252778,1.1102230246251565e-16,
GARS:K562,kmer (rehearsal),0.6503795777197868,0.6503795777197867,1.1102230246251565e-16,
GEMIN5:K562,kmer (rehearsal),0.6644827536730946,0.6644827536730946,0.0,
GRSF1:HepG2,kmer (rehearsal),0.6171127015621063,0.6171127015621063,0.0,
GRWD1:HepG2,kmer (rehearsal),0.7228726407844653,0.7228726407844653,0.0,
GRWD1:K562,kmer (rehearsal),0.718397544489796,0.7183975444897959,1.1102230246251565e-16,
GTF2F1:HepG2,kmer (rehearsal),0.7614513462418514,0.7614513462418515,1.1102230246251565e-16,
HLTF:HepG2,kmer (rehearsal),0.6017112718062777,0.6017112718062776,1.1102230246251565e-16,
HNRNPC:K562,kmer (rehearsal),0.7166861967429843,0.7166861967429843,0.0,
HNRNPL:K562,kmer (rehearsal),0.7739373006192531,0.7739373006192531,0.0,
HNRNPM:HepG2,kmer (rehearsal),0.7690603329130999,0.7690603329131,1.1102230246251565e-16,
HNRNPUL1:HepG2,kmer (rehearsal),0.5809967490336514,0.5809967490336514,0.0,
IGF2BP1:K562,kmer (rehearsal),0.6304200545751031,0.6304200545751031,0.0,
