dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
LIN28B:K562,LIN28B,K562,gc,splicebert,13832,1.0,5,5,0.0,0.0
LIN28B:K562,LIN28B,K562,dn,cnn,13832,1.0,5,5,0.0,0.0
LIN28B:K562,LIN28B,K562,dn,splicebert,13832,1.0,5,5,0.0,0.0
LSM11:K562,LSM11,K562,gc,cnn,2638,1.0,5,5,0.0,0.0
LSM11:K562,LSM11,K562,gc,splicebert,2638,1.0,5,5,0.0,0.0
LSM11:K562,LSM11,K562,dn,cnn,2678,1.0,5,5,0.0,0.0
LSM11:K562,LSM11,K562,dn,splicebert,2678,1.0,5,5,0.0,0.0
MATR3:HepG2,MATR3,HepG2,gc,cnn,13968,1.0,5,5,0.0,0.0
MATR3:HepG2,MATR3,HepG2,gc,splicebert,13968,1.0,5,5,0.0,0.0
MATR3:HepG2,MATR3,HepG2,dn,cnn,13982,1.0,5,5,0.0,0.0
MATR3:HepG2,MATR3,HepG2,dn,splicebert,13982,1.0,5,5,0.0,0.0
MATR3:K562,MATR3,K562,gc,cnn,9728,1.0,5,5,0.0,0.0
MATR3:K562,MATR3,K562,gc,splicebert,9728,1.0,5,5,0.0,0.0
MATR3:K562,MATR3,K562,dn,cnn,9732,0.9254007398273736,23,5,0.07357172215371968,0.0
MATR3:K562,MATR3,K562,dn,splicebert,9732,0.9254007398273736,23,5,0.07357172215371968,0.0
MBNL1:K562,MBNL1,K562,gc,cnn,2388,1.0,5,5,0.0,0.0
MBNL1:K562,MBNL1,K562,gc,splicebert,2388,1.0,5,5,0.0,0.0
MBNL1:K562,MBNL1,K562,dn,cnn,2404,1.0,5,5,0.0,0.0
MBNL1:K562,MBNL1,K562,dn,splicebert,2404,1.0,5,5,0.0,0.0
METTL1:K562,METTL1,K562,gc,cnn,962,1.0,5,5,0.0,0.0
